date_GMT,status,home_team_name,away_team_name,referee,home_team_goal_count,away_team_goal_count,total_goal_count,stadium_name
Aug 10 2018 - 7:00pm,complete,Manchester United,Leicester City,Andre Marriner,2,1,3,Old Trafford (Manchester)
Aug 11 2018 - 11:30am,complete,Newcastle United,Tottenham Hotspur,Martin Atkinson,1,2,3,St. James' Park (Newcastle upon Tyne)
Aug 11 2018 - 2:00pm,complete,AFC Bournemouth,Cardiff City,Kevin Friend,2,0,2,Vitality Stadium (Bournemouth- Dorset)
Aug 11 2018 - 2:00pm,complete,Fulham,Crystal Palace,Mike Dean,0,2,2,Craven Cottage (London)
Aug 11 2018 - 2:00pm,complete,Huddersfield Town,Chelsea,Chris Kavanagh,0,3,3,John Smith's Stadium (Huddersfield- West Yorkshire)
Aug 11 2018 - 2:00pm,complete,Watford,Brighton & Hove Albion,Jonathan Moss,2,0,2,Vicarage Road (Watford)
Aug 11 2018 - 4:30pm,complete,Wolverhampton Wanderers,Everton,Craig Pawson,2,2,4,Molineux Stadium (Wolverhampton- West Midlands)
Aug 12 2018 - 12:30pm,complete,Liverpool,West Ham United,Anthony Taylor,4,0,4,Anfield (Liverpool)
Aug 12 2018 - 12:30pm,complete,Southampton,Burnley,Graham Scott,0,0,0,St. Mary's Stadium (Southampton- Hampshire)
Aug 12 2018 - 3:00pm,complete,Arsenal,Manchester City,Michael Oliver,0,2,2,Emirates Stadium (London)
Aug 18 2018 - 11:30am,complete,Cardiff City,Newcastle United,Craig Pawson,0,0,0,Cardiff City Stadium (Cardiff (Caerdydd))
Aug 18 2018 - 2:00pm,complete,Everton,Southampton,Lee Mason,2,1,3,Goodison Park (Liverpool)
Aug 18 2018 - 2:00pm,complete,Leicester City,Wolverhampton Wanderers,Mike Dean,2,0,2,King Power Stadium (Leicester- Leicestershire)
Aug 18 2018 - 2:00pm,complete,Tottenham Hotspur,Fulham,Anthony Taylor,3,1,4,Wembley Stadium (London)
Aug 18 2018 - 2:00pm,complete,West Ham United,AFC Bournemouth,Stuart Attwell,1,2,3,London Stadium (London)
Aug 18 2018 - 4:30pm,complete,Chelsea,Arsenal,Martin Atkinson,3,2,5,Stamford Bridge (London)
